year,home_team,away_team,rank_dif,rating_dif,label
2010,Poland,Australia,-16,13.030303030303031,1
2010,Germany,Australia,-25,19.787878787878782,0
2010,Australia,Denmark,14,-14.8125,0
2010,Portugal,Denmark,-8,3.0662878787878753,0
2010,Belgium,Croatia,-15,2.505681818181813,1
2010,Belgium,Germany,2,1.0303030303030312,1
2010,Denmark,Germany,11,-4.975378787878782,2
2010,Sweden,Germany,22,-12.787878787878782,2
2010,England,France,6,-4.652462121212125,1
2010,Germany,England,-12,5.9090909090909065,0
2010,Iceland,Portugal,18,-7.151515151515142,1
2010,Denmark,Iceland,-10,4.085227272727266,0
2010,Russia,Belgium,63,-8.418181818181807,1
2014,Costa Rica,Panama,-30,3.7946127946127888,2
2014,Mexico,Panama,-40,5.249158249158242,0
2014,Brazil,Panama,-53,11.946127946127945,0
2014,Colombia,Uruguay,-1,0.27272727272726627,0
2014,Germany,Argentina,-4,-11.1875,0
2014,Germany,Argentina,-4,-11.1875,1
2014,Spain,Germany,7,10.212121212121218,1
2014,Brazil,Germany,1,10.575757575757578,1
2014,Switzerland,Peru,-5,1.331439393939391,0
2014,Uruguay,Costa Rica,-8,5.0909090909090935,1
2014,Uruguay,Costa Rica,-8,5.0909090909090935,2
2014,Brazil,Serbia,-33,4.393939393939391,0
2014,Brazil,Mexico,-13,6.696969696969703,2
2014,Brazil,Colombia,-14,2.787878787878796,0
2014,Argentina,Switzerland,-1,7.25,0
2014,Argentina,Brazil,3,0.6117424242424221,1
2018,Portugal,Egypt,-42,4.516129032258064,0
2018,Russia,France,59,-7.333333333333329,1
2018,Tunisia,Iran,-22,-2.492753623188406,0
2018,Belgium,Saudi Arabia,-67,-0.8636363636363598,0
